type,title,date,authors,doi,publisher,venue,location
book,Amazon,2003,"['G. Linden', 'B. Smith', 'J. York']",10.1109/MIC.2003.1167344,Item-to-Item Collaborative Filtering,,com Recommendations
,Why women take a long time for shopping?,2007,['H. Oda'],temp4644,,,
paper-conference,MusiCube: a visual music recommendation system featuring interactive evolutionary computing,2011,"['Y. Saito', 'T. Itoh']",10.1145/2016656.2016661,,Visual Information Communication - Information Symposium (VINCI'11,
book,The SMART retrieval system - experiments in automatic document processing,1971,['G. Saltom'],10.5555/1102022,Prentice-Hall,,
article-journal,Semanticons: Visual Metaphors as File Icons,2005,"['V. Setlur', 'C. Albrecht-Buehler', 'A. Gooch', 'S. Rosoff', 'B. Gooch']",10.1111/j.1467-8659.2005.00889.x,,Computer Graphics Forum,
article-journal,Relevance feedback: a power tool for interactive content-based image retrieval,1998,"['R. Yong', 'T.S. Huang', 'M. Ortega', 'S. Mehrotra']",10.1109/76.718510,,IEEE Transactions on Circuits and Systems for Video Technology,
article-journal,Online shopping acceptance model - a critical survey of customer factors in online shopping,2007,"['L. Zhou', 'L. Dai', 'D. Zhang']",temp4649,,Journal of Electronic Commerce Research,
research-article,Interactive Visual Analysis of Temporal Text Data,2015,"['Aditeya Pandey', 'Kunal Ranjan', 'Geetika Sharma', 'Lipika Dey']",10.1145/2801040.2801049,ACM,vinci,
,D3: Data-Driven Documents,2011,"['M. Bostock', 'V. Ogievetsky', 'J. Heer']",10.1109/TVCG.2011.185,,,
paper-conference,Email analytics for activity management and insight discovery,2013,"['L. Dey', 'H.S. Bharadwaja', 'G. Meera', 'G. Shroff']",10.1109/WI-IAT.2013.78,,Proceedings of International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT,
paper-conference,Dynamic coordinated email visualization,2005,"['S. Frau', 'J.C. Roberts', 'N. Boukhelifa']",temp4652,,Proceedings of WSCG,
paper-conference,Muse: Reviving memories using email archives,2011,"['S. Hangal', 'M.S. Lam', 'J. Heer']",10.1145/2047196.2047206,,Proceedings of UIST,
paper-conference,Nokia internet pulse: A long term deployment and iteration of a twitter visualization,2012,"['J. Kaye', 'J. Walkup', 'A. Lillie', 'E. al']",10.1145/2212776.2212856,,Proceedings of CHI,
paper-conference,Topicflow: Visualizing topic alignment of twitter data over time,2013,"['S. Malik', 'A. Smith', 'T. Hawes', 'P. Papadatos', 'J. Li', 'C. Dunne', 'B. Shneiderman']",10.1145/2492517.2492639,,Proc. IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,
article-journal,Using rhythms of relationships to understand e-mail archives,2006,"['A. Perer', 'B. Shneiderman', 'D.W. Oard']",10.5555/1182620.1182622,,J. Am. Soc. Inf.Sci. Technol,
paper-conference,Email analytics for support center performance analysis,2014,"['K. Ranjan', 'L. Dey']",temp4657,,Proceedings of IEEE International Conference on Data Mining Workshop (ICDMW,
,Envisioning Information,1990,['R.Tufte Edward'],10.5555/78223,,,Cheshire
paper-conference,Visualizing email content: Portraying relationships from conversational histories,2006,"['F.B. Viegas', 'S. Golder', 'J. Donath']",10.1145/1124772.1124919,,Proceedings of CHI,
short-paper,Exploring the Benefits of Text and Sketch in Video Retrieval of Complex Queries,2015,"['Yan Huang', 'Cui-Xia Ma', ""Hong'an Wang""]",10.1145/2801040.2801063,ACM,vinci,
,Google Video Search,,[],temp4660,,,
book,,,[],temp4661,Microsoft Bing Video Search,,
,,,['YouTube Videos'],temp4662,,,
paper-conference,Experiments in interactive video search by addition and subtraction,2008,"['J. Adcock', 'M. Cooper', 'J. Pickens']",10.1145/1386352.1386412,,Proceedings of the 2008 international conference on Content-based image and video retrieval,
article-journal,Sketch-based annotation and visualization in video authoring,2012,"['Cuixia Ma', 'Yongjin Liu', 'Hongan Wang', 'Dongxing Teng', 'Guozhong Dai']",10.1109/TMM.2012.2190389,,IEEE Transactions on Multimedia,
article-journal,A sketch-based approach for interactive organization of video clips,2014,"['Yongjin Liu', 'Cuixia Ma', 'Qiufang Fu', 'Xiaolan Fu', 'Shengfeng Qin', 'Lexing Xie']",10.1145/2645643,,"ACM Transactions on Multimedia Computing, Communications and Applications",
paper-conference,Markov random fields for sketch based video retrieval,2013,"['R. Hu', 'S. James', 'T. Wang', 'J. Collomosse']",10.1145/2461466.2461510,,Proceedings of the 3rd ACM conference on International conference on multimedia retrieval,
paper-conference,Learning concept bundles for video search with complex queries,2011,"['J. Yuan', 'Z.J. Zha', 'Y.T. Zheng', 'M. Wang', 'X. Zhou', 'T.S. Chua']",10.1145/2072298.2072357,,Proceedings of the 19th ACM international conference on Multimedia,
paper-conference,TypeRighting: combining the benefits of handwriting and typeface in online educational videos,,"['A. Cross', 'M. Bayyapunedi', 'E. Cutrell', 'A. Agarwal', 'W. Thies']",10.1145/2470654.2470766,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems 2013,
article-journal,Fast image/video collection summarization with local clustering,,"['S. Tarashima', 'G. Irie', 'K. Tsutsuguchi', 'H. Arai', 'Y. Taniguchi']",10.1145/2502081.2502189,,Proceedings of the 21st ACM international conference on Multimedia,
article-journal,NoteVideo: facilitating navigation of blackboard-style lecture videos,,"['T.J.K.P. Monserrat', 'S. Zhao', 'K. McGee', 'A.V. Pandey']",10.1145/2470654.2466147,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,
article-journal,Shape-based retrieval: A case study with trademark image databases {J},1998,"['Jain A. K', 'Vailaya A']",temp4671,,Pattern recognition,
article-journal,Query by sketch and relevance feedback for content-based image retrieval over the web {J},1999,"[' Sciascio E', 'Mongiello M']",10.1006/jvlc.1999.0145,,Journal of Visual Languages & Computing,
article-journal,Sketch-based image retrieval on mobile devices using compact hash bits{C},,"['Tseng K. Y', 'Lin Y. L', 'Chen Y. H', ' ']",10.1145/2393347.2396345,,Proceedings of the 20th ACM international conference on Multimedia,
paper-conference,VideoQ: an automated content based video search system using visual cues{C},1997,"['Chang S. F', 'Chen W', 'Meng H. J', ' ']",10.1145/266180.266382,,Proceedings of the fifth ACM international conference on Multimedia,
article-journal,Motion-sketch Based Video Retrieval Using a Trellis Levenshtein Distance{C},2010,"['R. Hu', 'Collomosse J. P']",10.1109/ICPR.2010.38,,ICPR,
paper-conference,"ThumbReels: query sensitive web video previews based on temporal, crowdsourced, semantic tagging",2014,"['B. Craggs', 'M. Kilgallon Scott', 'J. Alexander']",10.1145/2556288.2557249,,Proceedings of the 32nd annual ACM conference on Human factors in computing systems,
paper-conference,Storyboard sketches for content based video retrieval,,"['J.P. Collomosse', 'G. McNeill', 'Y. Qian']",temp4677,,IEEE 12th International Conference on Computer Vision,
paper-conference,User interaction techniques for multimedia retrieval,2012,"['C. Morikawa', 'G.C. Silva']",10.1145/2160749.2160765,,Proceedings of the 2012 Joint International Conference on Human-Centered Computer Environments,
paper-conference,Computers can't give credit: How automatic attribution falls short in an online remixing community,2011,"['A. Monroy-Hernandez', 'B.M. Hill', 'J. Gonzanlez-Rivero']",10.1145/1978942.1979452,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,
research-article,Metaphoric Transfer Effect in Information Visualization Using Glyphs,2015,"['Yina Li', 'Dongjin Li', 'K. Zhang']",10.1145/2801040.2801062,ACM,vinci,
article-journal,A Cross-Cultural Study of the Affective Meanings of Color,1973,"['F.M. Adams', 'C.E. Osgood']",10.1177/002202217300400201,,Journal of Cross Cultural Psychology,
article-journal,Is Memory Schematic,1983,"['J.W. Alba', 'L. Hasher']",.apa.org/getdoi.cfm?doi=10.1037/0033-2909.93.2.203,,Psychological Bulletin,
article-journal,Uniting the Tribes of Fluency to Form a Metacognitive Nation,2009,"['A.L. Alter', 'D.M. Oppenheimer']",10.1177/1088868309341564,,Personality and Social Psychology Review,
paper-conference,"['A Taxonomic analysis of User-Interface Metaphors in the Microsoft Office Project Gallery', 'January/February']","['2005', '2005']","['P. Barr', 'R. Khaled', 'J. Noble', 'R. Biddle']",10.5555/1082243.1082257,,Australasian User Interface Conference,"Newcastle, Australia"
book,Image Music Text,1977,['R. Barthers'],temp4684,Hill and Wang,,New York
article-journal,"Cognitive Fluency: High-Level Processing Dynamics in Art Appreciation, Psychology of Aesthetics",2010,"['B. Belke', 'H. Leder', 'T. Strobach']",.apa.org/getdoi.cfm?doi=10.1037/a0019648,,"Creativity, and the Arts",
paper-conference,"Glyph-Based Visualization: Foundations, Design Guidelines, Techniques and Applications","['2013', 'May 6-10, 2013']","['R.K. Borgo', 'D.H.S. Chung', 'E. Maguire', 'R.S. Laramee', 'H. Hauer', 'M. Ward', 'M. Chen']",temp4686,,The 34th Annual Conference of the European Association for Computer Graphics,"Girona, Spain"
paper-conference,Applying Feature Integration Theory to Glyph-based Information Visualization,"['2015', 'April 15-17, 2015']","['Z. Cai', 'Y.-N. Li', 'X.S. Zheng', 'K. Zhang']",temp4687,,"IEEE Pacific Visualization 2015, The 8th IEEE Pacific Visualization Symposium","Hangzhou, China"
chapter,Prototypes in Person Perception,1979,"['N. Cantor', 'W. Mischel']",temp4688,Academic Press,Advances in Experimental Social Psychology,"New York, NY"
article-journal,Observational Goals and Schema Activation: A Theoretical Framework for Behavior Perception,1979,"['C.E. Cohen', 'E.G. Ebbeson']",temp4689,,Journal of Experimental Social Psychology,
chapter,Interface Metaphors and User Interface Design,1988,"['S. Card', 'R. Mack', 'W. Kellog']",temp4690,Elsevier Science Publisher,Handbook of Human Computer Interaction,
article-journal,GlyphLink: An Interactive Visualization Approach for Semantic Graphs,2013,"['M. Cayli', 'M.C. Cobanoglu', 'S. Balcisoy']",10.1016/j.jvlc.2013.09.002,,Journal of Visual Languages and Computing,
paper-conference,Metaphors in Interactive Visual Analytics,"['2014', 'August 5-8, 2014']","['J.L. Cybulski', 'S. Keller', 'D. Saundage']",10.1145/2636240.2636866,,Proceedings of The 2014 Visual Information Communication International Symposium 14,"['Sydney, Australia', ""VINCI'14, ACM New York, NY""]"
article-journal,Motivated Skepticism: Use of Differential Decision Criteria for Preferred and Nonpreferred Conclusions,1992,"['P.H. Ditto', 'D.F. Lopez']",.apa.org/getdoi.cfm?doi=10.1037/0022-3514.63.4.568,,Journal of Personality and Social Psychology,
book,Social cognition,1991,"['S.T. Fiske', 'S.E. Taylor']",temp4694,Random House,,"NYC, NY"
book,Art and Illusion: A Study in the Psychology of Pictorial Representation,1960,['E.H. Gombrich'],temp4695,Princeton University Press,,"Princeton, NJ"
paper-conference,Exploring the African Village Metaphor for Computer User Interface Icons,2009,"['D. Heukelman', 'S.E. Obono']",10.1145/1632149.1632167,132--140,"Proceedings of the 2009 Annual Research Conference of the South African Institute of Computer Scientists and Information Technologists, SAICSIT '09, ACM","New York, NY"
article-journal,Spatial Metaphors for a Speech-Based Mobile City Guide Service,2005,"['M. Howell', 'S. Love', 'M. Turner']",10.1007/s00779-004-0271-1,,Journal of Personal and Ubiquitous Computing,
book,How to Lie With Statistics,1954,['D. Huff'],temp4698,WW Norton and Company,,"NYC, NY"
article-journal,Rationality and Reasoning with Metaphors,2007,['B. Indurkhya'],temp4699,,New Ideas in Psychology,
book,"The Body in the Mind: The Bodily Basis of Meaning, Imagination, and Reason",1987,['M. Johnson'],temp4700,University of Chicago Press,,"Chicago, IL"
article-journal,Remembering Mistaken for Knowing: Ease of Retrieval as a Basis for Confidence in Answers to General Knowledge Questions,1993,"['C.M. Kelley', 'D.S. Lindsay']",temp4701,,Journal of Memory and Language,
article-journal,How do We Know that We Know? The Accessibility Model of the Feeling of Knowing,1993,['A. Koriat'],.apa.org/getdoi.cfm?doi=10.1037/0033-295X.100.4.609,,Psychological Review,
chapter,The Contemporary Theory of Metaphor,1992,['G. Lakoff'],temp4703,Cambridge University Press,Metaphor and though,"Cambridge, UK"
book,"Fire, and Dangerous Things What Categories Reveal about The Mind",1987,['G. Lakoff'],temp4704,University of Chicago Press,,"Chicago, IL"
book,Metaphors We Live By,2003,"['G. Lakoff', 'M. Johnsen']",temp4705,The University of Chicago Press,,"London, UK"
article-journal,A Metaphor-Enriched Social Cognition,2010,"['M.J. Landau', 'B.P. Meier', 'L.A. Keefer']",.apa.org/getdoi.cfm?doi=10.1037/a0020970,,Psychological Bulletin,
paper-conference,Visual signatures for financial time series,"['2011', 'August 4-5, 2011']","['S.T. Lei', 'K. Zhang']",10.1145/2016656.2016672,Hong Kong,"['Proceedings of the 2011 Visual Information Communication International Symposium. Article 16', ""VINCI'11, ACM""]","['China', 'New York, NY']"
article-journal,Selecting Semantically-Resonant Colors for Data Visualization,"['2013', 'May 6-10, 2013']","['S. Lin', 'J.Kulkarni Fortuna', 'Stone C.', 'M. ', 'J. Heer']",10.5555/2600534.2600590,,"['Proceedings of the 34th Annual Conference of the European Association for Computer Graphics', 'Eurographics Conference on Visualization (EuroVis']","Girona, Spain"
article-journal,Ambiguities and Conventions in the Perception of Visual Art,2008,['P. Mamassian'],temp4709,,Vision Research,
article-journal,Breaking Through Complexity: Visual and Conceptual Dimensions in Logo Evaluation across Exposures,2014,"['Miceli G.N.', 'Scopelliti I.', 'Donato C']",10.1002/mar.20741,,Psychology and Marketing,
article-journal,Metaphors and the Market: Consequences and Preconditions of Agent and Object Metaphors in Stock Market Commentary,2007,"['M.W. Morris', 'O.J. Sheldon', 'D.R. Ames', 'M.J. Young']",temp4711,,Organizational Behavior and Human Decision Processes,
book,Communication and Persuasion: Central and Peripheral Routes to Attitude Change,1986,"['R.E. Petty', 'J.T. Cacioppo']",temp4712,Springer-Verlag,,"New York, NY"
article-journal,The Persuasive Power of Data Visualization,"['2013', '2014-07-31']",[' '],temp4713,,IEEE Transactions on Visualization and Computer Graphics; DOI =,
chapter,"A Brick Wall, a Locked Door, and a Bandit: a Physical Security Metaphor for Firewall Warnings, Symposium on Usable Privacy and Security","['2011', 'July 20-22, 2011']","['F. Raja', 'K. Hawkey', 'S. Hsu', 'K.-L.C. Wang', 'K. Beznosov']",10.1145/2078827.2078829,,"SOUPS '11, ACM","['Pittsburgh, PA', 'New York, NY']"
article-journal,Effects of Perceptual Fluency on Judgments of Truth,1999,"['R. Reber', 'N. Schwarz']",temp4715,,Consciousness and Cognition,
article-journal,Survey of Glyph-Based Visualization Techniques for Spatial Multivariate Medical Data,2011,"['T. Ropinski', 'S. Oeltze', 'B. Preim']",10.1016/j.cag.2011.01.011,,Computers and Graphics,
article-journal,Metacognitive Experiences and the Intricacies of Setting People Straight: Implications for Debiasing and Public Information Campaigns,2007,"['N. Schwarz', 'L.J. Sanna', 'I. Skurnik', 'C. Yoon']",temp4717,,Advances in Experimental Social Psychology,
article-journal,"If It's Easy to Read, It's Easy to Do, Pretty, Good, and True",2010,"['H. Song', 'N. Schwarz']",temp4718,,The Psychologist,
,,,['C. Ware'],10.5555/983611,,,
chapter,The Hedonic Marking of Processing Fluency: Implications for Evaluative Judgment,2003,"['P. Winkielman', 'N.Fazendeiro Schwarz', ' T.', 'R. Reber']",temp4720,"Erlbaum, Inc",The Psychology of Evaluation: Affective Processes in Cognition and Emotion,"Mahwah, NJ"
article-journal,The Shaping of Information by Visual Metaphors,2008,"['C. Ziemkiewicz', 'R. Kosara']",10.1109/TVCG.2008.171,,IEEE Transactions on Visualization and Computer Graphics,
research-article,On the Utility of Large High-Resolution Displays for Comparative Scientific Visualisation,2015,"['Christoph Müller', 'Michael Krone', 'Katrin Scharnowski', 'Guido Reina', 'Thomas Ertl']",10.1145/2801040.2801045,ACM,vinci,
article-journal,The comparison of geometric and electronic properties of molecular surfaces by neural networks,1996,"['S. Anzali', 'G. Barnickel', 'M. Krug', 'J. Sadowski', 'M. Wagener', 'J. Gasteiger', 'J. Polanski']",temp4722,,J. Comput. Mol. Des,
paper-conference,Move to improve: Promoting physical navigation to increase user performance with large displays,2007,"['R. Ball', 'C. North', 'D. Bowman']",10.1145/1240624.1240656,,Proc. CHI,
paper-conference,An evaluation of techniques for grabbing and manipulating remote objects in immersive virtual environments,1997,"['D.A. Bowman', 'L.F. Hodges']",10.1145/253284.253301,,Proc. I3D,
article-journal,Shape-based similarity searching in chemical databases,2013,"['P.W. Finn', 'G.M. Morris']",10.1002/wcms.1128,,Wiley Interdiscip. Rev. Comput. Mol. Sci,
paper-conference,Shared Substance: Developing Flexible Multi-surface Applications,2011,"['T. Gjerlufsen', 'C.N. Klokmose', 'J. Eagan', 'C. Pillias', 'M. Beaudouin-Lafon']",10.1145/1978942.1979446,,Proc. CHI,
article-journal,Megamol -- a prototyping framework for particle-based visualization,2015,"['S. Grottel', 'M. Krone', 'C. Müller', 'G. Reina', 'T. Ertl']",temp4727,,IEEE Trans. Vis. Comput. Graphics,
paper-conference,Developing tiled projection display systems,2000,"['M. Hereld', 'I.R. Judson', 'J. Paris', 'R.L. Stevens']",temp4728,,Proc. Immersive Projection Technology Workshop,
article-journal,SURFCOMP: A novel graph-based approach to molecular surface comparison,2004,"['C. Hofbauer', 'H. Lohninger', 'A. Aszódi']",10.1021/ci0342371,,J. Chem. Inf. Comput. Sci,
article-journal,Comparative visual analysis of lagrangian transport in cfd ensembles,2013,"['M. Hummel', 'H. Obermaier', 'C. Garth', 'K. Joy']",10.1109/TVCG.2013.141,,IEEE Trans. Vis. Comput. Graphics,
paper-conference,"Sizing up visualizations: Effects of display size in focus+context, overview+detail, and zooming interfaces",2011,"['M.R. Jakobsen', 'K. Hornbæk']",10.1145/1978942.1979156,,Proc. CHI,
book,Concepts and applications of molecular similarity,1990,"['M.A. Johnson', 'G.M. Maggiora']",temp4732,Wiley,,
article-journal,A discussion of the solution for the best rotation to relate two sets of vectors,1976,['W. Kabsch'],temp4733,,Acta Crystallogr. Sect. A,
article-journal,Beyond Mouse and Keyboard: Expanding Design Considerations for Information Visualization Interactions,2012,"['B. Lee', 'P. Isenberg', 'N. Riche', 'S. Carpendale']",10.1109/TVCG.2012.204,,IEEE Trans. Vis. Comput. Graphics,
paper-conference,Redirecting research in large-format displays for visualization,2012,['K. Moreland'],temp4735,,Proc. LDAV,
chapter,The VVand: A two-tier system design for high-resolution stereo rendering,2013,"['C. Müller', 'G. Reina', 'T. Ertl']",temp4736,,CHI POWERWALL Workshop,
paper-conference,Remote visualization of large scale data for ultra-high resolution display environments,2009,"['S. Nam', 'B. Jeong', 'L. Renambot', 'A. Johnson', 'K. Gaither', 'J. Leigh']",10.1145/1838544.1838550,,Proc. UltraVis,
chapter,"A survey of large high-resolution display technologies, techniques, and applications",2006,"['T. Ni', 'G.S. Schmidt', 'O.G. Staadt', 'M.A. Livingston', 'R. Ball', 'R. May']",10.1109/VR.2006.20,,IEEE Virtual Reality 2006,
chapter,Building the Reality Deck,2013,"['C. Papadopoulos', 'K. Petkov', 'A. Kaufman']",temp4739,,CHI POWERWALL Workshop,
article-journal,The anatomy and taxonomy of protein structure,1981,['J.S. Richardson'],temp4740,,Advances in Protein Chemistry,
book,"Performance and interaction behaviour during visual search on large, high-resolution displays",2013,"['R.A. Ruddle', 'R.G. Thomas', 'R.S. Randell', 'P. Quirke', 'D. Treanor']",temp4741,Inf. Vis,,
article-journal,Comparative visualization of molecular surfaces using deformable models,2014,"['K. Scharnowski', 'M. Krone', 'G. Reina', 'T. Kulschewski', 'J. Pleiss', 'T. Ertl']",10.5555/2854210.2854237,,Comput. Graph. Forum,
,Parallel large data visualization with display walls,2012,"['L. Scheidegger', 'H.T. Vo', 'J. Krüger', 'C.T. Silva', 'J.L.D. Comba']",temp4743,,,
article-journal,Shaping the display of the future: The effects of display size and curvature on user performance and insights,2009,"['L. Shupp', 'C. Andrews', 'M. Dickey-Kurdziolek', 'B. Yost', 'C. North']",full/10.1080/07370020902739429,,Human-Computer Interaction,
,Physically large displays improve path integration in 3D virtual navigation tasks,2004,"['D.S. Tan', 'D. Gergle', 'P.G. Scupelli', 'R. Pausch']",10.1145/985692.985748,,,
,Envisioning Information,1990,['R.Tufte Edward'],10.5555/78223,,,Cheshire
article-journal,"Small multiples, large singles: A new approach for visual data exploration",2013,"['S. Elzen', 'J.J. Wijk']",10.1111/cgf.12106,,Computer Graphics Forum,
paper-conference,The effect of presenting long documents with large high-resolution displays on comprehension of content and user experience,2010,"['S. Yang', 'H. Chung', 'C. North', 'E.A. Fox']",temp4748,,Proc. Intl. Symposium on Electronic Theses and Dissertations,
article-journal,The perceptual scalability of visualization,2006,"['B. Yost', 'C. North']",10.1109/TVCG.2006.184,,IEEE Trans. Vis. Comput. Graphics,
research-article,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation,2015,"['Muye Yang', 'Robert P. Biuk-Aghai']",10.1145/2801040.2801056,ACM,vinci,
article-journal,Gospermap: Using a gosper curve for laying out hierarchical data,2013,"['D. Auber', 'C. Huet', 'A. Lambert', 'B. Renoust', 'A. Sallaberry', 'A. Saulnier']",10.1109/TVCG.2013.91,,IEEE Transactions on Visualization and Computer Graphics,
book,,2005,"['M. Balzer', 'O. Deussen']",10.1109/INFOVIS.2005.40,Voronoi Treemaps,,
article-journal,Voronoi treemaps for the visualization of software metrics,2005,"['Michael Balzer', 'Oliver Deussen']",10.1145/1056018.1056041,,ACM,
book,"Semiology of Graphics: Diagrams, Networks, Maps",1983,['J. Bertin'],10.5555/1095597,Uni. of Wisconsin Press,,
paper-conference,A novel map-based visualization method based on liquid modelling,2013,"['R.P. Biuk-Aghai', 'W.H. Ao']",10.1145/2493102.2493114,ACM,"Proceedings of the 6th International Symposium on Visual Information Communication and Interaction, VINCI '13","New York, NY, USA"
article-journal,Visualizing large-scale human collaboration in Wikipedia,2014-02,"['R.P. Biuk-Aghai', 'C.-I. Pang', 'Y.-W. Si']",10.1016/j.future.2013.04.001,,Future Generation Computer Systems,
,A cross-cultural study of young children's mapping abilities,,"['M. Blades', 'J.M. Blaut', 'Z. Darvizeh', 'S. Elguea', 'S. Sowden', 'D. Soni', 'C. Spencer', 'D. Stea', 'R. Surajpaul', 'D. Uttal']",10.1111/j.0020-2754.1998.00269.x,,,
paper-conference,Squarified treemaps,1999,"['M. Bruls', 'K. Huizing', 'J. Wijk']",temp4757,Springer-Verlag,Proceedings of the Joint Eurographics and IEEE TCVG Symposium on Visualization,
chapter,Drawing clustered graphs as topographic maps,2013,"['M. Gronemann', 'M. Jünger']",10.1007/978-3-642-36763-2_38,Springer,Graph Drawing,Berlin Heidelberg
chapter,Multivariate categorical data -- mosaic plots,2006,['H. Hofmann'],temp4759,Springer,"Graphics of Large Datasets, Statistics and Computing",New York
,Visualizing dynamic data with maps,,"['Y. Hu', 'S. Kobourov', 'D. Mashima']",10.1109/TVCG.2011.288,,,
,Tennisviewer: A Browser for Competition Trees,1997,"['L. Jin', 'D.C. Banks']",10.1109/38.595272,,,
paper-conference,Tree-Maps: a space filling approach to the visualization of hierarchical information structures,1991,"['B. Johnson', 'B. Shneiderman']",10.5555/949607.949654,IEEE Computer Society Press,Proc. of IEEE Visualization '91,
paper-conference,Fractal approaches for visualizing huge hierarchies,1993-08,"['H. Koike', 'H. Yoshihara']",temp4763,,Proceedings 1993 IEEE Symposium on Visual Languages,
,A focus+context technique based on hyperbolic geometry for visualizing large hierarchies,,"['J. Lamping', 'R. Rao', 'P. Pirolli']",10.1145/223904.223956,,,
article-journal,"Computing voronoi treemaps: Faster, simpler, and resolution-independent",2012-06,"['A. Nocaj', 'U. Brandes']",10.1111/j.1467-8659.2012.03078.x,,Comp. Graph. Forum,
chapter,Circular Partitions with Applications to Visualization and Embeddings,2008,"['K. Onak', 'A. Sidiropoulos']",10.1145/1377676.1377683,,In,
paper-conference,Cone trees: Animated 3d visualizations of hierarchical information,1991,"['G.G. Robertson', 'J.D. Mackinlay', 'S.K. Card']",10.1145/108844.108883,,Proceedings of the ACM SIGCHI Conference on Human Factors in Computing Systems Addison-Wesley,"Reading, MA"
paper-conference,Ordered treemap layouts,2001,"['B. Shneiderman', 'M. Wattenberg']",10.5555/580582.857710,IEEE Computer Society,IEEE Symposium on Information Visualization,
chapter,The world of geography: Visualizing a knowledge domain with cartographic means,,['A. Skupin'],full/10.1073/pnas.0307654100,,In,
paper-conference,Improving the visualization of hierarchies with treemaps: design issues and experimentation,1992,"['D. Turo', 'B. Johnson']",10.5555/949685.949711,IEEE Computer Society Press,Proceedings of the 3rd conference on Visualization'92,
article-journal,Cushion Treemaps: Visualization of hierarchical information,,['Jarke J. Wetering'],10.5555/857189.857663,,IEEE Symposium on Information Visualization,
article-journal,Visualizing business data with generalized treemaps,2006-09,"['R. Vliegen', 'J. Wijk', 'E.-J. Linden']",10.1109/TVCG.2006.200,,IEEE Transactions on Visualization and Computer Graphics,
chapter,Visualizing the stock market,1999,['M. Wattenberg'],10.1145/632716.632834,ACM,CHI '99 Extended Abstracts on Human Factors in Computing Systems,
paper-conference,A note on space-filling visualizations and space-filling curves,2005-10,['M. Wattenberg'],10.1109/INFOVIS.2005.1,,IEEE Symposium on Information Visualization,
short-paper,On Clustered Graph Layouts Sketched by Users Based on Predefined Clusters,2015,[],10.1145/2801040.2801064,ACM,vinci,
chapter,Drawing clusters and hierarchies,2001,"['R. Brockenauer', 'S. Cornelsen']",10.5555/376944.376952,,Drawing Graphs,
article-journal,Fast layout computation of clustered networks: Algorithmic advances and experimental analysis,2014,"['W. Didimo', 'F. Montecchiani']",10.1016/j.ins.2013.09.048,,Information Sciences,
article-journal,A heuristic for graph drawing,1994,['P. Eades'],temp4777,,Congress Numerantium,
article-journal,Improving multiple aesthetics produces better graph drawings,2013,"['W. Huang', 'P. Eades', 'S.-H. Hong', 'C.-C. Lin']",10.1016/j.jvlc.2011.12.002,,Journal of Visual Language and Computing,
paper-conference,Aesthetic of angular resolution for node-link diagrams: Validation and algorithm,2011,"['W. Huang', 'M. Huang', 'C.-C. Lin']",temp4779,IEEE Press,Proc. of 27th IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2011,
article-journal,Mental map preserving graph drawing using simulated annealing,2011,"['C.-C. Lin', 'Y.-Y. Lee', 'H.-C. Yen']",10.1016/j.ins.2011.06.005,,Information Sciences,
paper-conference,Which Aesthetic has the Greatest Effect on Human Understanding?,1997,['H. Purchase'],10.5555/647549.728779,,"Proc. the 5th international Symposium on Graph Drawing (GD'97), LNCS 1353",
article-journal,"Performance of layout algorithms: comprehension, not computation",1998,['H. Purchase'],temp4782,,Journal of Visual Language and Computing,
article-journal,An experimental study of the basis for graph drawing algorithms,1997,"['H. Purchase', 'R. Cohen', 'M. James']",10.1145/264216.264222,,Journal of Experimental Algorithmics,
article-journal,"Graph drawing aesthetics--created by users, not algorithms",2012,"['H. Purchase', 'C. Pilcher', 'B. Plimmer']",10.1109/TVCG.2010.269,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Graph drawing aesthetics in user-sketched graph layouts,2010,"['H. Purchase', 'B. Plimmer', 'R. Baker', 'C. Pilcher']",10.5555/1862280.1862292,,"['Proc. of 11th Australasian User Interface Conference', 'CPRIT']",
poster,Visually Do Statistics: Visual Materials of Covariance in Regressive Analysis,2015,"['Yukari Shirota', 'Yutaka Takahashi', 'Nobuhide Tanaka', 'Michiya Morita']",10.1145/2801040.2801042,ACM,vinci,
book,Practical Data Analysis for Economics and Management,2012,"['Y. Okuse', 'T. Kuboyama']",temp4786,Kodansha,,
poster,The Interface Design for Serendipity with Collective Intelligence,2015,"['Makiko Harada', 'Hidenori Watanave']",10.1145/2801040.2801047,ACM,vinci,
article-journal,"The Wisdom of Crowds: Why the Many are Smarter Than the Few and How Collective Wisdom Shapes Business, Economics""",2005,['James Surowiecki'],10.5555/1095645,,"Society and Nations, Abacus",
paper-conference,"The Bohemian Bookshelf Supporting Serendipitous Discoveries through Visualization""",2012,"['Alice Thudt', 'Uta Hinrichs', 'Sheelagh Carpendale']",10.1145/2207676.2208607,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,
